SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,25 Ordway St,SAN FRANCISCO,CA,94134,1968000,4,2.0,SAN FRANCISCO,1853,2495,1953,2,1062,,Active,October-10-2021 01:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/25-Ordway-St-94134/home/1868977,MLSListings,ML81866037,N,Y,37.7201633,-122.4011648
MLS Listing,,Single Family Residential,118 Andover St,San Francisco,CA,94110,1595000,3,1.5,San Francisco,1275,1746,1908,2,1251,,Active,October-12-2021 02:00 PM,October-12-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/118-Andover-St-94110/home/1248254,San Francisco MLS,421594865,N,Y,37.7413606,-122.4164734
MLS Listing,,Condo/Co-op,501 Beale St Unit 15F,San Francisco,CA,94105,1099000,2,1.0,San Francisco,852,22594,2006,2,1290,1054,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/501-Beale-St-94105/unit-15F/home/22886091,San Francisco MLS,421602451,N,Y,37.786237,-122.389066
MLS Listing,,Condo/Co-op,4161 23rd St Unit C,San Francisco,CA,94114,875000,1,1.0,San Francisco,744,3226,1906,2,1176,332,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/4161-23rd-St-94114/unit-C/home/40615406,San Francisco MLS,421602351,N,Y,37.75257,-122.43555
MLS Listing,,Condo/Co-op,1688 Pine St Unit W410,San Francisco,CA,94109,850000,1,1.0,San Francisco,725,35482,2016,2,1172,697,Active,October-10-2021 01:00 PM,October-10-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-W410/home/88334375,San Francisco MLS,421602433,N,Y,37.7895497,-122.4233697
MLS Listing,,Condo/Co-op,1333 Jones St #1408,San Francisco,CA,94109,2000000,2,2.0,San Francisco,,32952,1961,2,,1958,Active,,,http://www.redfin.com/CA/San-Francisco/1333-Jones-St-94109/unit-1408/home/12400135,San Francisco MLS,421602098,N,Y,37.793648,-122.4149043
MLS Listing,,Single Family Residential,615 6th Ave,San Francisco,CA,94118,1695000,4,2.5,San Francisco,2141,2649,1906,2,792,,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/615-6th-Ave-94118/home/618612,San Francisco MLS,421601926,N,Y,37.7768808,-122.4641724
MLS Listing,,Single Family Residential,198 El Verano Way,San Francisco,CA,94127,2950000,4,4.0,San Francisco,4327,5096,1927,2,682,2,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/198-El-Verano-Way-94127/home/1734200,San Francisco MLS,421601187,N,Y,37.7304301,-122.4617399
MLS Listing,,Townhouse,601 Van Ness Ave #78,San Francisco,CA,94102,795000,2,2.0,San Francisco,1100,105806,1982,2,723,1130,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/601-Van-Ness-Ave-94102/unit-78/home/1974426,San Francisco MLS,421602353,N,Y,37.7811165,-122.4213309
MLS Listing,,Multi-Family (2-4 Unit),1049 Carolina St,San Francisco,CA,94107,959000,1,2.0,San Francisco,710,2500,1949,2,1351,,Active,October-10-2021 01:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1049-Carolina-St-94107/home/735179,San Francisco MLS,421601231,N,Y,37.7554494,-122.3995496
